fileName,operationId,asset_id,moderationResult,,
chunk_10_20.mp3,10e24ec9-dc2a-4edb-a258-a64bd619e574,18314456291,Reviewing,,
chunk_10_28.mp3,bec7105e-f4fa-4a6f-ae96-56484583d63a,18314473595,Reviewing,,
chunk_10_35.mp3,8594aba4-7f3e-4ea7-bd02-2e628396d956,18314474476,Reviewing,SexualContent,
chunk_11_6.mp3,8ddde672-408f-4207-bcae-0a87103b2a73,18314496888,Approved,,
chunk_12_32.mp3,f7d417c9-0f4e-4ad7-8e74-6d85b8b58dcf,18314496513,Reviewing,Illegal and Regulated Content,
chunk_1_13.mp3,604405f2-fd54-4826-9426-403f1027bbc0,18314497343,Reviewing,,
chunk_1_2.mp3,d759bb59-3b1b-4e83-85c6-637a6eda6974,18314496639,Approved,,
chunk_3_2.mp3,ad29ea8d-a0e7-4cff-87cb-a6b11caa2305,18314496392,Approved,,
chunk_1_45.mp3,323191c0-dd98-4bb1-b2cb-d9877dc1deac,18314497122,Reviewing,Swearing,
chunk_1_46.mp3,c8e47e68-999e-40ad-bb21-7c888990daf4,18314518763,Reviewing,Discriminatory Content,Restored
chunk_1_51.mp3,1f0a6053-6707-4a11-b327-72b8f7e614c7,18314520071,Reviewing,Sexual Content,
chunk_2_13.mp3,8da3481f-8b59-46eb-88c0-c439be1b8db3,18314520361,Reviewing,,
chunk_2_14.mp3,ce74add8-210e-4314-8120-c0b727c532e9,18314520095,Approved,,
chunk_3_29.mp3,3ddc135c-a29b-4867-ab7b-2e082ba39b91,18314520525,Reviewing,,
chunk_3_34.mp3,f2280207-1a38-4ed2-a2a7-a50977b861a7,18314520146,Reviewing,Swearing,
